,Tracer,Incubation_time_hrs,Niskin #,Cruise,Station,Cast,Date,Time (local),Time (GMT),(N deg),(N minutes),Latitude (N),(W deg),(W minutes),Longitude (W),Sample Type,Target Depth (m),Feature,Cast #,DateCTD,Time,Latitude [N],Longitude [W],CTD_Pressure [db],CTD_Depth [m],Sigma_theta [kg/m3],Salinity [psu],Temperature [C],PAR [uE/m2/s],Oxygen [umol/L],run_date,Row,Identifier 1,44N2O,incubation time (days),45N2Oa,45N2Ob,46N2O,Flag,Notes,N2O_sat,N2O_supersat,d18O_NOx,d15N_NOx,area44_NOx,nmol_NOx,mL_added,uM_NOx,Flag_1,date,error_permil,error_%,sulfamic_treated
1001,NH4+,24.86666667,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191206,3,Ward_1001,54.24703655,1.036111111,0.208801098,0.20571606,0.119187107,,,9.438868484,44.80816806,3.912453445,25.87630208,4.741,19.70831746,1.6,12.31769841,2,200630,1.350309525,5.218324939,
1002,NH4+,24.86666667,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191206,4,Ward_1002,56.27606218,1.036111111,0.20880222,0.205633362,0.119160638,,,9.438868484,46.8371937,4.207857478,24.63120186,5.238,21.77434441,1.8,12.096858,2,200630,0.95182047,3.864287561,
1003,NH4+,24.86666667,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191206,5,Ward_1003,54.87424556,1.036111111,0.208825264,0.205686309,0.119193185,,,9.438868484,45.43537708,5.77548157,23.31688107,4.554,18.93095923,1.5,12.62063948,2,200630,1.509235138,6.472714484,
1004,NH4+,12.18333333,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191206,6,Ward_1004,55.7613211,0.507638889,0.208812375,0.20565518,0.119181386,,,9.438868484,46.32245262,2.136928541,20.33713378,5.814,24.16877403,2,12.08438702,2,200630,0.633477382,3.114880341,
1005,NH4+,12.18333333,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191206,7,Ward_1005,58.70862632,0.507638889,0.208799248,0.205662522,0.119157348,,,9.438868484,49.26975784,3.059921035,19.4990919,4.492,18.67322548,1.5,12.44881699,2,200630,1.518903161,7.789609733,
1006,NH4+,12.18333333,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191206,8,Ward_1006,58.40430266,0.507638889,0.208851585,0.205620163,0.119163949,,,9.438868484,48.96543418,5.350374648,20.73663427,5.759,23.94013926,2,11.97006963,2,200630,0.657614335,3.171268427,
1007,NH4+,0.716666667,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191206,9,Ward_1007,57.91936822,0.029861111,0.208865375,0.205601365,0.119185717,,,9.438868484,48.48049974,4.418672809,11.09724733,5.862,24.36830983,2,12.18415492,2,200630,0.454754324,4.097902035,
1008,NH4+,0.716666667,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191206,10,Ward_1008,52.55492603,0.029861111,0.208901364,0.20567828,0.11921837,,,9.438868484,43.11605755,5.325624703,15.34640149,5.598,23.27086292,1.8,12.92825718,2,200630,0.617740109,4.02530919,
1009,NH4+,0.616666667,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191206,11,Ward_1009,56.08136201,0.025694444,0.208910088,0.205678842,0.119196283,,,9.438868484,46.64249353,4.953338776,12.86876169,5.302,22.04039214,1.8,12.2446623,2,200630,0.707078814,5.494536541,
1010,NO2-,24.68333333,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191209,2,Ward_1010,53.75969172,1.028472222,0.207224385,0.204984356,0.120119699,,,9.438868484,44.32082323,27.14841086,1348.233888,0.47,0.522992953,1.75,0.298853116,2,200810,132.0985038,9.797892265,
1011,NO2-,24.68333333,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191209,3,Ward_1011,52.56814004,1.028472222,0.204074627,0.200725222,0.11597246,,,9.438868484,43.12927155,22.02882122,1869.363042,0.658,1.44189646,1.75,0.823940835,2,200810,119.7797705,6.407517846,
1012,NO2-,24.68333333,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191209,4,Ward_1012,53.25865636,1.028472222,0.203959702,0.200570829,0.115887776,,,9.438868484,43.81978787,8.177486098,1517.249907,1.224,4.208382551,1.5,2.805588367,2,200810,72.13858583,4.754561887,
1013,NO2-,12,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191209,5,Ward_1013,50.93759563,0.5,0.203872052,0.200595286,0.115941337,,,9.438868484,41.49872715,10.85946677,2329.381892,1.355,4.848682335,1.5,3.23245489,2,200810,79.07194667,3.394546294,
1014,NO2-,12,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191209,6,Ward_1014,55.93755172,0.5,0.203793912,0.200460401,0.115878213,,,9.438868484,46.49868324,26.70587959,1265.965833,0.424,0.298154861,1.75,0.170374206,4,200810,136.5656024,10.78746351,
1015,NO2-,12,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191209,7,Ward_1015,53.90445391,0.5,0.204461124,0.200929568,0.115918344,,,9.438868484,44.46558542,21.82431458,2260.245902,0.891,2.580750275,1.5,1.720500183,2,200810,105.7429696,4.678383421,
1016,NO2-,0.55,6,SR1805,PS1,4,3/19/18,600,1500,9,59.99,9.999833333,112,59.99,112.9998333,Hybrid_Incubation,100,Mid-oxycline,4,Mar 19 2018,930.5,10.00002,112.99998,100.706,100.113,26.1163,34.793,13.5855,1.00E-12,-0.876,191209,8,Ward_1016,57.67160629,0.022916667,0.204196784,0.200752905,0.115886183,,,9.438868484,48.23273781,16.07834435,1839.605945,0.978,3.005987536,1.5,2.003991691,2,200810,92.43995167,5.02498657,
