Key,Nitrification (nM/day),Denit from NO2- (nM/day),Denit from NO3- (nM/day),Hybrid2 (nM/day),Station,Feature,cost,f,weightNH4,weightNO2,weightNO3
PS1Interface,0.0,0.008131905,2.44323314,0.047288504,PS1,Interface,10.2575749,0.483551544,0.333333333,0.333333333,0.333333333
PS1Interface,0.0,0.008205027,9.020280283,0.013001191,PS1,Interface,13.10017039,0.0,0.333333333,0.333333333,0.333333333
PS1Interface,0.0,0.008131354,2.443610805,0.047291942,PS1,Interface,10.25757516,0.483483465,0.333333333,0.333333333,0.333333333
PS1SCM,0.000593338,0.001388276,0.243770352,0.040589706,PS1,SCM,4.831796716,0.394602479,0.1,0.1,0.8
PS1SCM,9.73232e-07,0.001419772,0.244522004,0.040656496,PS1,SCM,4.821006475,0.395588235,0.1,0.1,0.8
PS1SCM,0.000119286,0.001420047,0.244570322,0.040643539,PS1,SCM,4.819510188,0.39555579,0.1,0.1,0.8
PS1Mid-oxycline,0.0,0.001575275,0.0,0.001435704,PS1,Mid-oxycline,1.832354414,0.303001987,0.333333333,0.333333333,0.333333333
PS1Mid-oxycline,0.0,0.001575341,0.0,0.00143553,PS1,Mid-oxycline,1.832354414,0.302967188,0.333333333,0.333333333,0.333333333
PS1Mid-oxycline,0.0,0.001575428,0.0,0.001435665,PS1,Mid-oxycline,1.832354416,0.302979046,0.333333333,0.333333333,0.333333333
PS1Top of oxycline,1.1233e-05,0.0,0.0,0.0,PS1,Top of oxycline,0.414561985,0.654744536,0.333333333,0.333333333,0.333333333
PS1Top of oxycline,1.12333e-05,0.0,0.0,0.0,PS1,Top of oxycline,0.414561985,0.518213364,0.333333333,0.333333333,0.333333333
PS1Top of oxycline,1.12316e-05,0.0,0.0,0.0,PS1,Top of oxycline,0.414561985,0.635704631,0.333333333,0.333333333,0.333333333
PS1Surface,0.0,0.0,0.0,0.000429018,PS1,Surface,0.339983693,0.378371557,0.333333333,0.333333333,0.333333333
PS1Surface,0.0,0.0,0.0,0.000429009,PS1,Surface,0.339983694,0.378354457,0.333333333,0.333333333,0.333333333
PS1Surface,0.0,0.0,0.0,0.000429014,PS1,Surface,0.339983693,0.378369746,0.333333333,0.333333333,0.333333333
PS2Deep ODZ core,0.0,0.005545733,1.438976159,0.0,PS2,Deep ODZ core,2.898518054,0.616368398,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.005562916,1.43571919,2.67786e-05,PS2,Deep ODZ core,2.90094303,1.0,0.45,0.1,0.45
PS2Deep ODZ core,0.0,0.005720443,1.406643834,0.001757168,PS2,Deep ODZ core,3.101328369,1.0,0.45,0.1,0.45
PS2Deep oxycline,0.0,0.0,0.0,0.0,PS2,Deep oxycline,6.008994811445378,0.7417744664806807,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2Deep oxycline,0.0,0.0,0.0,0.0,PS2,Deep oxycline,6.008994811445378,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2Deep oxycline,0.0,0.0,0.0,0.0,PS2,Deep oxycline,6.008994811445378,0.7137831291067012,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2Base of ODZ,0.0,0.012932590134154,0.0,0.0659550580605367,PS2,Base of ODZ,32.8086164312668,0.5753788230883525,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2Base of ODZ,0.0,0.0129291311144793,0.0,0.0659469400777772,PS2,Base of ODZ,32.80862003435854,0.5754052035547064,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2Base of ODZ,0.0,0.0129263618697915,0.0,0.0659566724673715,PS2,Base of ODZ,32.808618269327795,0.5754159865574848,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2Base of ODZ,0.0,0.012931900185208,0.0,0.0659517397427411,PS2,Base of ODZ,32.80861619369589,0.5753915884947436,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2Base of ODZ,0.0,0.0129305167069652,0.0,0.065962102283252,PS2,Base of ODZ,32.80861640232914,0.5754196303536269,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2Base of ODZ,0.0,0.0129336151926778,0.0,0.0659544350611271,PS2,Base of ODZ,32.808616178222785,0.5754028536633731,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2Interface,0.0001316349171579,0.0089937854336738,0.1539786196149001,0.0309832561505385,PS2,Interface,5.303358457629816,0.0964619306688006,0.45,0.1,0.45
PS2Interface,0.0001620681929749,0.0089910109101002,0.0818562910155102,0.0316389483632803,PS2,Interface,5.359342720791599,0.1108845304566899,0.45,0.1,0.45
PS2Interface,0.0001891185081228,0.008991728709881,0.0908618917973649,0.0318403683749971,PS2,Interface,5.348142108999387,0.1170449993279797,0.45,0.1,0.45
PS2PNM,0.0003209511781993,0.0,0.0903113542908062,0.0004864232337956,PS2,PNM,3.4832607284336152,0.6317575446461022,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2PNM,0.0003209502852624,0.0,0.0902494686674987,0.0004880776791598,PS2,PNM,3.4832616131319574,0.6271568992966144,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2PNM,0.0003209486951447,0.0,0.0904094264074872,0.0004869901623684,PS2,PNM,3.483260820680547,0.6323066347973275,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2Top of oxycline,0.0,0.0,0.0,0.0002247610867118,PS2,Top of oxycline,0.2075011795871547,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2Top of oxycline,7.067676690365939e-07,0.0,0.0,0.0002177065922014,PS2,Top of oxycline,0.2074689526502622,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
PS2Top of oxycline,2.0014551561267784e-07,0.0,0.0,0.00022994914917986469,PS2,Top of oxycline,0.2075176045156186,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
