Key,Denit fromNO2- (nM/day),Hybrid2 (nM/day),Station,Nitrification (nM/day),f,iteration,cost,Denit from NO3- (nM/day),weightNH4,weightNO2,weightNO3,Feature,Denit from NO2- (nM/day)
PS1Top of oxycline,,0.0,PS1,1.5690054525007617e-05,0.5679198539666721,9,0.4152688236541806,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.6008205659401875e-05,0.5361999948830584,7,0.415286670284864,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.1480583837646076e-05,0.5844010296597117,14,0.4153695616600143,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.5027067966986204e-05,0.5362066600057044,19,0.4153649095890753,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.270736235367416e-05,0.5108228847999376,1,0.4153609892288742,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,8.924192492662922e-06,0.6067349098845657,10,0.4154147828033855,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.07346475718048e-06,0.5542181461147125,11,0.4153945081803306,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2684817832232137e-05,0.54108492499582,6,0.4153956122195026,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2310678741970493e-05,0.5875703518526343,4,0.4153488770457265,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.83715193617578e-06,0.5355442169526962,15,0.4154209852524725,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.3901529731067764e-05,0.4245623771662544,2,0.4153509467336917,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.4727643073173755e-05,0.5229189164923402,18,0.415367608331224,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.3586298220234425e-05,0.4687918433912451,13,0.4153269219002031,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.0742417466182898e-05,0.690367131419551,12,0.4153587371072674,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2797295614336976e-05,0.6293613976329883,8,0.4153426695480977,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.4116316225747295e-05,0.6838047570698889,0,0.4153713472511524,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.4019707316732292e-05,0.70206657814307,3,0.4153076124128905,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.233658317908803e-06,0.4374517775804346,17,0.4154246232610926,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,8.97910982465941e-06,0.560553341432364,5,0.4153982980793511,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2512494894852204e-05,0.5324939115896385,16,0.4153782770769912,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.2798150456083034e-05,0.5478822109122921,20,0.4152993451351429,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.5895097748472893e-05,0.3398128250401303,22,0.4153780849597261,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.1345782101257556e-05,0.5883752803418303,26,0.4153867239412311,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.343929569537156e-06,0.5954526261535683,23,0.4153702929740122,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.338241387753238e-05,0.6183723022403866,34,0.4153226721783838,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,9.059050520122215e-06,0.5591527070063962,21,0.4154193056903694,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
PS1Top of oxycline,,0.0,PS1,1.3071550829265617e-05,0.5636787628484438,27,0.4153602267709863,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,Top of oxycline,0.0
