Key,Hybrid2 (nM/day),Feature,iteration,Nitrification (nM/day),weightNO3,weightNH4,Denit fromNO2- (nM/day),weightNO2,Station,f,cost,Denit from NO3- (nM/day),Denit from NO2- (nM/day)
PS2Base of ODZ,0.0556881260977765,Base of ODZ,7,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5656870444436876,45.65138881738,0.0,0.0115304559917427
PS2Base of ODZ,0.0607187370121304,Base of ODZ,10,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5620516472740503,45.92147269036624,0.0,0.0122516594821061
PS2Base of ODZ,0.0584344380549657,Base of ODZ,8,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.569018401148927,45.07845427193234,0.0,0.0109769550202365
PS2Base of ODZ,0.0580841319864988,Base of ODZ,12,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5660304775291262,42.80013829681412,0.0,0.0117415261084185
PS2Base of ODZ,0.0689238825724585,Base of ODZ,5,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5588306400998643,45.78035544327528,0.0,0.0143137628871577
PS2Base of ODZ,0.0755888345547192,Base of ODZ,11,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.563182911679269,38.28288311494092,0.0,0.0137696831403876
PS2Base of ODZ,0.0588134368536346,Base of ODZ,0,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5689559092438465,44.35459149732303,0.0,0.0108442109067774
PS2Base of ODZ,0.0735990469732514,Base of ODZ,4,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5597175389652675,42.01789747224262,0.0,0.013949884422018
PS2Base of ODZ,0.0513691842678478,Base of ODZ,3,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5669353622492269,42.78809579319879,0.0,0.0106823569104801
PS2Base of ODZ,0.0654191866761382,Base of ODZ,9,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.558725335111238,40.73956457488976,0.0,0.0138787443001227
PS2Base of ODZ,0.0641080999672284,Base of ODZ,18,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5670653450355037,43.74520195921282,0.0,0.0118908320253347
PS2Base of ODZ,0.0708037223321846,Base of ODZ,2,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5620399132508811,39.2659042707309,0.0,0.0131153151417927
PS2Base of ODZ,0.061180676453688,Base of ODZ,1,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5719556845331955,41.84399926785628,0.0,0.0113422374962405
PS2Base of ODZ,0.0677415707716751,Base of ODZ,19,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5564105823248189,44.78952319612024,0.0,0.0139661869759948
PS2Base of ODZ,0.0657211122721195,Base of ODZ,15,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5591186927463552,42.803504564046186,0.0,0.0135283866859362
PS2Base of ODZ,0.0601999732574921,Base of ODZ,17,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5634870588545418,41.88087535811427,0.0,0.0125616117337288
PS2Base of ODZ,0.0660012919744679,Base of ODZ,14,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5664960259510919,40.76259744490509,0.0,0.0124499020630578
PS2Base of ODZ,0.0719794160129145,Base of ODZ,6,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5613035996699896,46.13280362104776,0.0,0.0137233334791539
PS2Base of ODZ,0.0613752144848074,Base of ODZ,16,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5615859708491319,43.64900783428383,0.0,0.0124959252988159
PS2Base of ODZ,0.0655772923942777,Base of ODZ,13,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5555141298670334,45.59077927249607,0.0,0.013982037569725
PS2Base of ODZ,0.0520979903332516,Base of ODZ,20,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5688067606199707,44.88256424219,0.0,0.0106504452902278
PS2Base of ODZ,0.0613701722315372,Base of ODZ,25,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5608460743361878,44.23278876157158,0.0,0.0124749998827648
PS2Base of ODZ,0.0627868654650947,Base of ODZ,27,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5554964391126698,48.94739790195353,0.0,0.013732800886193
PS2Base of ODZ,0.0625004251479206,Base of ODZ,28,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5674065526625687,41.41842375806457,0.0,0.0117010451278774
PS2Base of ODZ,0.0518990748431617,Base of ODZ,35,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5717188353578553,43.4271727028243,0.0,0.0103116753416255
PS2Base of ODZ,0.0694931371499374,Base of ODZ,21,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5569080508461841,46.413232742654806,0.0,0.0149272537349818
PS2Base of ODZ,0.0593021812685936,Base of ODZ,26,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5678998325824602,49.34216808968576,0.0,0.0115241198774646
PS2Base of ODZ,0.0749183429805684,Base of ODZ,33,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5624620797308469,38.94175653492482,0.0,0.0136053611382645
PS2Base of ODZ,0.0708078423684337,Base of ODZ,22,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5580908230541135,46.05662551624948,0.0,0.0136281493300647
PS2Base of ODZ,0.0677908531311875,Base of ODZ,36,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5573681075098897,45.14790530048965,0.0,0.0136342615197931
