Key,weightNO3,iteration,weightNH4,weightNO2,Hybrid2 (nM/day),Feature,Nitrification (nM/day),f,Denit fromNO2- (nM/day),cost,Denit from NO3- (nM/day),Station,Denit from NO2- (nM/day)
PS2Deep ODZ core,0.45,13,0.45,0.1,0.0003819367600081,Deep ODZ core,0.0,0.0,,4.584054132662959,0.1895014622103471,PS2,0.005121996061239
PS2Deep ODZ core,0.45,12,0.45,0.1,0.0002594597830188,Deep ODZ core,0.0,0.0,,4.545625043934745,0.1554501673606354,PS2,0.0051832967420551
PS2Deep ODZ core,0.45,3,0.45,0.1,0.0003837640739964,Deep ODZ core,0.0,0.0,,4.656776746884326,0.1950970439272004,PS2,0.0049888371555096
PS2Deep ODZ core,0.45,18,0.45,0.1,0.0020883485364281,Deep ODZ core,0.0,0.0,,4.128251421422217,0.160191090635228,PS2,0.0070287889744772
PS2Deep ODZ core,0.45,2,0.45,0.1,0.0021713391721329,Deep ODZ core,0.0,0.0,,4.337606682346606,0.2496589765005687,PS2,0.005090089035407
PS2Deep ODZ core,0.45,8,0.45,0.1,2.910813414556553e-06,Deep ODZ core,8.851468121828783e-05,0.0,,4.411906333394823,0.1619465557217074,PS2,0.0054560711214827
PS2Deep ODZ core,0.45,7,0.45,0.1,0.0003181401645387,Deep ODZ core,0.0,0.0,,4.600379704157749,0.2505543562555627,PS2,0.005192098191753
PS2Deep ODZ core,0.45,14,0.45,0.1,0.0,Deep ODZ core,0.0,0.2713510633445629,,4.659180410210322,0.2640815730420343,PS2,0.0052423422061964
PS2Deep ODZ core,0.45,15,0.45,0.1,0.0004657242018847,Deep ODZ core,0.0,0.0,,4.596521734041072,0.2116247410193725,PS2,0.0047059982485911
PS2Deep ODZ core,0.45,21,0.45,0.1,7.70117298469636e-05,Deep ODZ core,0.0001225925011116,0.0,,4.780416543888816,0.1931653027752709,PS2,0.0054376244333051
PS2Deep ODZ core,0.45,17,0.45,0.1,0.0093166675567211,Deep ODZ core,0.0,0.0,,3.96040316538878,0.1770116884018507,PS2,0.0055239127626763
PS2Deep ODZ core,0.45,11,0.45,0.1,0.0101379583969114,Deep ODZ core,0.0013296001998651,1.0,,4.11887019825503,0.1421558815797459,PS2,0.0053087264415284
PS2Deep ODZ core,0.45,5,0.45,0.1,0.0099205289294499,Deep ODZ core,0.0,0.0282701441093366,,4.208043582479608,0.2982444901723142,PS2,0.0054467852735934
PS2Deep ODZ core,0.45,22,0.45,0.1,0.0071301467805563,Deep ODZ core,0.0,0.0,,4.04734660627078,0.1607648226804781,PS2,0.0049438308304778
PS2Deep ODZ core,0.45,32,0.45,0.1,0.0,Deep ODZ core,9.496417507820604e-05,0.0,,4.058894558670581,0.2346003359358256,PS2,0.0052993205302392
PS2Deep ODZ core,0.45,9,0.45,0.1,0.0048551967779802,Deep ODZ core,0.0,0.3228658719889781,,4.129641657013705,0.1979429411595091,PS2,0.0050972384361133
PS2Deep ODZ core,0.45,10,0.45,0.1,0.0034073910857753,Deep ODZ core,0.0,0.244397253864307,,4.337608560891071,0.2121325213273316,PS2,0.0048757134509833
