Key,Denit from NO3- (nM/day),Denit fromNO2- (nM/day),f,Nitrification (nM/day),cost,weightNO2,Feature,Hybrid2 (nM/day),Station,weightNH4,weightNO3,iteration,Denit from NO2- (nM/day)
PS2SCM,0.7448631564227108,,0.0,0.0,7.628001756128773,0.1,SCM,0.0382888338704985,PS2,0.45,0.45,10,0.0436526467290573
PS2SCM,0.5062669993272143,,0.4503405295312556,0.0,5.850949057683849,0.1,SCM,0.0500523139657652,PS2,0.45,0.45,0,0.042352755331047
PS2SCM,0.7297356270147329,,0.5092923217121166,0.0,6.605639315181295,0.1,SCM,0.0306997567883994,PS2,0.45,0.45,4,0.0430312044521949
PS2SCM,0.7422211823008643,,0.3982360457983003,0.0,4.741420180680898,0.1,SCM,0.0678928909665714,PS2,0.45,0.45,3,0.0418516667132658
PS2SCM,0.6537816576386395,,0.5056076410528425,0.0,6.375685721346266,0.1,SCM,0.0337158152226383,PS2,0.45,0.45,1,0.0417767602069638
PS2SCM,0.6396592323218835,,0.39584035059591,0.0,4.454695254204726,0.1,SCM,0.0645287624847409,PS2,0.45,0.45,16,0.0402101970454634
PS2SCM,0.510947512498907,,0.4041954954506568,0.0,5.072551600223642,0.1,SCM,0.0655775061152035,PS2,0.45,0.45,12,0.0418704083659273
PS2SCM,0.6201061776656802,,0.3918949890978458,0.0,5.953089848561666,0.1,SCM,0.0525660365488524,PS2,0.45,0.45,18,0.0415191828133036
PS2SCM,0.6930355124461643,,0.5055190181829787,0.0,6.269828023786907,0.1,SCM,0.0365627375139361,PS2,0.45,0.45,9,0.0435861496066297
PS2SCM,0.6484015953959431,,0.3848735975917786,0.0,5.619136904889026,0.1,SCM,0.0602632932450515,PS2,0.45,0.45,14,0.0412288530578988
PS2SCM,0.769230205405611,,0.4264437225443698,0.0,5.612992795924428,0.1,SCM,0.0513768814665616,PS2,0.45,0.45,17,0.0411341138768505
PS2SCM,0.7203929701135978,,0.3840360583130225,0.0,5.152148616073722,0.1,SCM,0.0673333852954053,PS2,0.45,0.45,5,0.0428220240366036
PS2SCM,0.8760425861122737,,0.3930204596973031,0.0,4.420279773318301,0.1,SCM,0.0680948185653526,PS2,0.45,0.45,8,0.0415331681320116
PS2SCM,0.7328681227376789,,0.3893256603814916,0.0,6.192760573010737,0.1,SCM,0.0490955263566801,PS2,0.45,0.45,2,0.0412438183201758
PS2SCM,0.6309963640238302,,0.3832552055188953,0.0,5.681367567825378,0.1,SCM,0.0603965913087765,PS2,0.45,0.45,6,0.0427568950207559
PS2SCM,0.8214010996643536,,0.3837005924656314,0.0,5.814710451492897,0.1,SCM,0.0624835700563532,PS2,0.45,0.45,15,0.042164916233277
PS2SCM,0.67038472643317,,0.4352559275531735,0.0,5.701111559795359,0.1,SCM,0.0527364254900883,PS2,0.45,0.45,11,0.0422144932375451
PS2SCM,0.8206565866839396,,0.3949022455823266,0.0,6.16002122026583,0.1,SCM,0.0527178802469328,PS2,0.45,0.45,13,0.0418094130880963
PS2SCM,0.6826116870394919,,0.3877003497488832,0.0,5.062212032909644,0.1,SCM,0.0681135351619681,PS2,0.45,0.45,19,0.0426602064678096
PS2SCM,0.7987720598775452,,0.5008004083570643,0.0,6.28842552090943,0.1,SCM,0.0358819283600427,PS2,0.45,0.45,7,0.045402048550042
PS2SCM,0.5034332801929735,,0.3855122988356355,0.0,5.2699131976122775,0.1,SCM,0.0629700450112004,PS2,0.45,0.45,20,0.0420709306423585
PS2SCM,0.8745585562707463,,0.0,0.0,7.485465889500886,0.1,SCM,0.0402212236410899,PS2,0.45,0.45,31,0.0421059602249832
PS2SCM,1.1407014713302146,,0.0,0.0,8.059314810184755,0.1,SCM,0.0130585520734326,PS2,0.45,0.45,29,0.0426623751629938
PS2SCM,0.7262802593772796,,0.3924147883881363,0.0,4.964410010933864,0.1,SCM,0.0665375044472669,PS2,0.45,0.45,23,0.0417444489177741
PS2SCM,0.6078460901248218,,0.4505067898864838,0.0,5.884632308733082,0.1,SCM,0.0490422753302579,PS2,0.45,0.45,24,0.0440598722324728
PS2SCM,0.6154580923231391,,0.3979723510907019,0.0,5.420825196632968,0.1,SCM,0.0591025925911049,PS2,0.45,0.45,32,0.0415533127163115
PS2SCM,0.8618618733958066,,0.0,0.0,7.55709977275119,0.1,SCM,0.0379202373146486,PS2,0.45,0.45,41,0.0430420505790671
PS2SCM,0.8550903947001199,,0.3780889577511676,0.0,5.673859592547382,0.1,SCM,0.0630095203797205,PS2,0.45,0.45,21,0.0423529194188569
PS2SCM,0.7242229381726393,,0.4741752921702165,0.0,6.118573234520484,0.1,SCM,0.0427685274127633,PS2,0.45,0.45,30,0.0427505195684762
