Key,weightNH4,Denit fromNO2- (nM/day),weightNO3,Station,Nitrification (nM/day),Hybrid2 (nM/day),Denit from NO3- (nM/day),Feature,cost,f,iteration,weightNO2,Denit from NO2- (nM/day)
PS3Interface,0.45,,0.45,PS3,0.0001219075719608,0.0006814903702212,0.1085550231834107,Interface,9.331231931270189,1.0,5,0.1,0.0
PS3Interface,0.45,,0.45,PS3,2.512524168346793e-06,0.0,0.1187338452983284,Interface,9.3361393439581,1.0,1,0.1,0.0
PS3Interface,0.45,,0.45,PS3,8.799432341138582e-05,0.0,0.0950370347103104,Interface,9.340294688298766,1.0,14,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1035099646255949,Interface,9.326528745630764,0.999905183473974,10,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0001138322062371,0.0,0.1047988561753326,Interface,9.326163522262444,0.9999788741574068,9,0.1,0.0
PS3Interface,0.45,,0.45,PS3,9.438661995846728e-05,9.259024195959572e-05,0.1292323087504269,Interface,9.347955271135763,1.0,16,0.1,0.0
PS3Interface,0.45,,0.45,PS3,9.847543314421609e-05,0.0005941104765684,0.090303423544378,Interface,9.312655562542416,1.0,21,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.0950190965948234,Interface,9.335823838212455,0.0,18,0.1,0.0
PS3Interface,0.45,,0.45,PS3,3.4511600787535005e-05,0.0,0.1056760273869784,Interface,9.338929067261873,1.0,24,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1018164870155899,Interface,9.327135950759148,0.9384381786010974,4,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1223200023815587,Interface,9.331107542682108,0.4428169820675519,19,0.1,0.0
PS3Interface,0.45,,0.45,PS3,4.0254763750582575e-08,4.633359397390234e-05,0.0978099755873194,Interface,9.317750869270204,1.0,6,0.1,0.0
PS3Interface,0.45,,0.45,PS3,2.1902700981087355e-06,0.000697324631795,0.1088928266069511,Interface,9.342731706494426,1.0,23,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.000905444001991,0.0892580090340624,Interface,9.309175751351647,0.9985329255055266,8,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,1.7971532980628034e-14,0.1157727092182401,Interface,9.322911728564756,1.0,11,0.1,0.0
PS3Interface,0.45,,0.45,PS3,1.9346694609924223e-05,0.0,0.1040175750666404,Interface,9.322363703989549,1.0,29,0.1,0.0
PS3Interface,0.45,,0.45,PS3,4.624243309497787e-15,4.997748757722161e-15,0.1042668126159785,Interface,9.3316267548453,0.9792188717550504,15,0.1,0.0
PS3Interface,0.45,,0.45,PS3,2.3984547319979322e-09,0.0,0.1119517624009935,Interface,9.330725104925415,0.99964738227935,25,0.1,0.0
PS3Interface,0.45,,0.45,PS3,1.5961114024245936e-05,0.0002746607035472,0.0999757739511513,Interface,9.315102776981902,1.0,31,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1016025796989835,Interface,9.320243793953123,0.1340551985082053,2,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1120948834348909,Interface,9.324273581483284,0.0101271429854684,26,0.1,0.0
PS3Interface,0.45,,0.45,PS3,3.44861438843176e-15,0.0,0.1379288397546098,Interface,9.344629318775477,0.4940705058845488,7,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0008402118945687,0.1003754594144397,Interface,9.338645670556543,0.9999080643079212,27,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1062789968856305,Interface,9.333901315222196,0.996112446917178,20,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.107185571922121,Interface,9.31781589156349,0.0585558562714403,13,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0007322250955803,0.0832071361712726,Interface,9.304883011533144,0.9994430403497114,12,0.1,0.0
PS3Interface,0.45,,0.45,PS3,0.0,0.0,0.1492016928695893,Interface,9.338357939678788,0.998564154907946,32,0.1,0.0
