Key,Denit fromNO2- (nM/day),Station,f,cost,iteration,Denit from NO3- (nM/day),weightNH4,Feature,weightNO2,Nitrification (nM/day),Hybrid2 (nM/day),weightNO3,Denit from NO2- (nM/day)
PS3Top of oxycline,,PS3,1.0,0.6161864866478387,15,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0002533510289272,5.630466379991053e-05,0.3333333333333333,4.988801965075895e-05
PS3Top of oxycline,,PS3,1.0,0.6151527822489862,9,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0001617278173357,6.366201647801645e-05,0.3333333333333333,4.825887150514623e-05
PS3Top of oxycline,,PS3,0.9999286591718024,0.6161179920428276,7,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0002887532593527,6.393443169143203e-05,0.3333333333333333,5.309292732776878e-05
PS3Top of oxycline,,PS3,1.0,0.6160157396943813,18,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0002842320106115,6.0333524745581466e-05,0.3333333333333333,5.003455797898839e-05
PS3Top of oxycline,,PS3,1.0,0.6157693656410228,4,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.000199320448486,5.961464364148846e-05,0.3333333333333333,5.186042844668549e-05
PS3Top of oxycline,,PS3,0.9999246939924208,0.6154465900412391,11,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0002164918956707,5.9667339560105175e-05,0.3333333333333333,5.376386126692349e-05
PS3Top of oxycline,,PS3,0.9999086672797342,0.6153874919706239,5,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0002373404190008,6.847290749161325e-05,0.3333333333333333,5.543867988826061e-05
PS3Top of oxycline,,PS3,0.9999405951341565,0.6150618787167544,1,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0001530069183567,6.628779054870798e-05,0.3333333333333333,5.104032055476316e-05
PS3Top of oxycline,,PS3,1.0,0.6155724444263927,10,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0002062507651741,6.261098465723108e-05,0.3333333333333333,4.866578300649546e-05
PS3Top of oxycline,,PS3,0.9992384093390392,0.6160067712751832,13,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0003492036398813,6.729652387316906e-05,0.3333333333333333,5.393070553733371e-05
PS3Top of oxycline,,PS3,1.0,0.6160229642765875,0,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.00031495251832,5.880886115444879e-05,0.3333333333333333,5.417348347881457e-05
PS3Top of oxycline,,PS3,1.0,0.6159383647817874,19,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0003128255299984,6.347600128673398e-05,0.3333333333333333,5.283384288764153e-05
PS3Top of oxycline,,PS3,0.9999906324694032,0.6154279548635959,17,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0002080354315823,6.501768102339096e-05,0.3333333333333333,5.563764005967098e-05
PS3Top of oxycline,,PS3,0.999990059686043,0.6147207384077354,8,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0001840918063252,7.450687960406628e-05,0.3333333333333333,5.7308366034440206e-05
